rank,name,country_name,country_id,value
1,Carlos Alcaraz Garfia,Spain,ESP,100.00%
2,Novak Djokovic,Serbia,SRB,85.71%
3,Alexander Bublik,Kazakhstan,KAZ,81.82%
4,Andrey Rublev,Russian Federation,RUS,80.00%
5,Frances Tiafoe,United States,USA,77.78%
5,Holger Vitus Nodskov Rune,Denmark,DEN,77.78%
5,Tallon Griekspoor,Netherlands,NED,77.78%
8,Adrian Mannarino,France,FRA,75.00%
8,Christopher Eubanks,United States,USA,75.00%
8,Francisco Cerundolo,Argentina,ARG,75.00%
11,Jannik Sinner,Italy,ITA,72.73%
12,Alexander Zverev,Germany,GER,71.43%
12,Grigor Dimitrov,Bulgaria,BUL,71.43%
12,Jan Lennard Struff,Germany,GER,71.43%
12,Marton Fucsovics,Hungary,HUN,71.43%
16,Daniil Medvedev,Russian Federation,RUS,70.00%
17,Alex De Minaur,Australia,AUS,66.67%
17,Alex Michelsen,United States,USA,66.67%
17,Hubert Hurkacz,Poland,POL,66.67%
17,Lorenzo Musetti,Italy,ITA,66.67%
17,Rinky Hijikata,Australia,AUS,66.67%
22,Jordan Thompson,Australia,AUS,64.29%
23,Jiri Lehecka,Czech Republic,CZE,62.50%
23,Roman Safiullin,Russian Federation,RUS,62.50%
25,Cameron Norrie,United Kingdom,GBR,60.00%
25,Daniel Elahi Galan Riveros,Colombia,COL,60.00%
25,Guido Pella,Argentina,ARG,60.00%
25,John Isner,United States,USA,60.00%
25,Matteo Berrettini,Italy,ITA,60.00%
25,Roberto Bautista Agut,Spain,ESP,60.00%
25,Sebastian Korda,United States,USA,60.00%
32,Tommy Paul,United States,USA,58.33%
33,Christopher Oconnell,Australia,AUS,57.14%
33,Denis Shapovalov,Canada,CAN,57.14%
33,Laslo Djere,Serbia,SRB,57.14%
33,Nicolas Jarry,Chile,CHI,57.14%
33,Yannick Hanfmann,Germany,GER,57.14%
38,Gregoire Barrere,France,FRA,55.56%
39,Mackenzie Mcdonald,United States,USA,54.55%
40,Jeffrey John Wolf,United States,USA,50.00%
40,Liam Broady,United Kingdom,GBR,50.00%
40,Lloyd George Muirhead Harris,South Africa,RSA,50.00%
40,Mikael Ymer,Sweden,SWE,50.00%
40,Stefanos Tsitsipas,Greece,GRE,50.00%
45,Corentin Moutet,France,FRA,44.44%
46,Emil Ruusuvuori,Finland,FIN,42.86%
46,Taylor Harry Fritz,United States,USA,42.86%
46,Ugo Humbert,France,FRA,42.86%
49,Alejandro Davidovich Fokina,Spain,ESP,40.00%
49,Aleksandar Vukic,Australia,AUS,40.00%
49,Aslan Karatsev,Russian Federation,RUS,40.00%
49,Ben Shelton,United States,USA,40.00%
49,Marc Andrea Huesler,Switzerland,SUI,40.00%
49,Roberto Carballes Baena,Spain,ESP,40.00%
49,Zhizhen Zhang,China,CHN,40.00%
56,Arthur Rinderknech,France,FRA,33.33%
56,Lorenzo Sonego,Italy,ITA,33.33%
56,Miomir Kecmanovic,Serbia,SRB,33.33%
56,Richard Gasquet,France,FRA,33.33%
60,Brandon Nakashima,United States,USA,20.00%
60,Marcos Giron,United States,USA,20.00%
60,Yibing Wu,China,CHN,20.00%
63,Maxime Cressy,United States,USA,16.67%
